Average Velocity (mph),Max Velocity,Velocity Stdev,Average Acceleration (mph per s),Max Acceleration (mph per s), Acceleration Stdev,Displacement,Total Distance Traveled,Max Direction Change per sec, Direction Stdev,Time (s),Stops,Large Deceleration Events,Deceleration Events,Max Deceleration Event,Percentage Aggressive Turns,labels
19.07306657,42.10067933,13.80928644,1.337710489,16.12945247,2.139067832,3001.246269,3804.373487,45.33311124,73.65816902,447,4,2,12,-14.33694399,25.32306657,1
20.46596865,61.14010141,20.49192086,0.995778259,26.37741625,1.716030185,10976.82011,14789.64056,71.56505118,117.3488418,1618,12,1,10,-25.44846422,34.75168294,1
32.10854111,51.09213638,16.14896431,0.914998073,7.656364602,1.364628866,10251.35515,11441.4385,48.76528802,128.460509,799,3,0,5,-6.963469064,57.10854111,1
15.44654306,46.35447146,14.06623848,1.024962268,14.8797476,1.566938514,5553.965045,9082.053366,111.037511,127.7898791,1318,10,2,14,-7.195147811,32.83784741,1
12.135184,32.15941094,12.9085201,0.852309201,15.30827113,2.580320733,1455.035646,1973.563146,53.84181456,113.2207666,364,3,0,1,-15.30827113,27.51979938,1
13.39650387,137.9812727,14.31795296,3.5444342,121.6599865,9.366999909,463.7417385,1112.130503,174.3163358,82.02390847,185,1,1,8,-25.72783828,35.61872609,1
22.41082022,47.04266659,14.75363417,1.422941697,13.94283362,2.068196024,5600.265845,7429.453878,53.72829641,149.3345242,743,8,1,8,-13.22066347,42.41082022,1
8.162111532,31.38958604,10.48188226,0.995185032,6.714724158,2.071805806,145.8012346,974.1966036,156.8014095,124.5142415,268,5,1,1,-6.714724158,16.49544487,0
14.27947241,44.52250056,13.9268104,1.149235423,15.00885955,1.902184857,1154.327999,2583.585569,43.60590886,125.3322396,405,5,1,4,-10.9421017,25.39058352,1
14.68060431,48.0661411,13.89655703,1.068682974,24.0870023,1.695386976,5811.56938,9906.014514,55.91342822,122.5758947,1512,15,1,16,-11.33404149,30.47007799,1
13.88418853,32.22020236,11.61332678,1.131429591,14.26106091,2.120057035,399.463703,1223.261937,45,109.2445513,197,1,0,4,-13.17301122,33.88418853,1
12.47843478,94.69664577,11.86952204,2.419986758,65.54392569,5.756359517,678.0711615,1634.137413,146.7195991,83.0718361,285,4,2,4,-24.59300562,31.22843478,1
4.904788962,15.33868521,4.76770382,1.068536265,8.776710855,1.683036141,182.1843572,564.4880208,45,106.8324546,257,2,0,1,-8.776710855,52.40216791,1
14.02600763,35.49392917,9.163323867,1.119520415,6.186748418,1.746636016,1061.143746,2110.105894,44.43353476,104.111668,337,1,0,5,-6.025675738,26.52600763,1
18.85535199,47.39598633,14.83158957,1.251165228,6.210720447,2.306544855,4360.135462,4966.365033,46.26900276,122.288342,591,4,1,6,-6.188216508,29.9664631,1
12.92451997,46.320362,14.71836838,0.877205694,8.3215717,1.715215113,4842.097745,6062.276676,45,135.752137,1050,20,0,9,-8.3215717,16.62822367,0
5.857118289,31.19637312,8.998203548,0.73362179,6.638710938,2.480897439,495.1911247,816.3103922,45,97.22650658,312,4,0,4,-6.638710938,22.52378496,0
11.52150362,51.43715078,14.55627329,0.7124531,7.372399702,1.084734643,4363.710124,5241.255441,45,81.76694565,1020,12,1,4,-5.552371354,33.68694713,1
12.30953209,32.50702324,12.43200282,1.292248713,7.247956347,1.792222076,1407.316347,1951.016427,49.53095158,82.36056823,356,3,0,4,-5.529533185,24.80953209,0
36.00398814,64.83358734,15.37016731,1.036407903,8.529825894,1.426357485,21555.95019,25932.4604,42.43622979,45.6484238,1614,5,2,12,-8.529825894,61.00398814,1
2.922730844,18.43072218,4.535883364,0.544352244,5.30524254,0.900941663,147.0309151,237.1226989,45,124.0303702,182,2,0,1,-5.30524254,50.42010979,1
11.99652172,38.6067103,11.754602,1.116754717,10.86149977,1.836231152,713.6275849,1159.710485,69.61856995,107.1071066,217,2,1,3,-6.787840224,71.99652172,1
6.586256298,29.26180856,8.234741434,1.236302091,15.93825428,2.229790256,276.1110284,1212.439175,66.87347961,111.0030661,408,5,0,6,-15.67681133,14.91958963,0
17.86095636,38.35570779,13.70623009,1.613171745,14.33360575,2.517740483,1402.053637,1924.217819,45,144.0848948,241,3,0,5,-14.33360575,34.52762303,1
23.98196091,43.98620875,13.34022068,1.001743668,11.93757718,1.846859381,5450.665491,7078.805701,49.15128527,85.11239533,662,4,0,7,-11.93757718,57.23012617,1
13.62099225,33.1641059,13.06803962,0.85067553,4.506088616,2.383171201,1451.208627,1973.015834,65.68985845,86.03395783,325,2,0,1,-4.18527032,27.90670654,1
14.87831287,35.17085339,13.0441672,0.94451379,3.901960967,1.250396492,422.2103386,1156.424092,35.67354422,112.2395493,175,1,0,2,-3.901960967,48.2116462,1
21.84416001,43.74944224,13.84859916,1.076153989,29.58137833,1.973721412,5564.598309,9815.856446,155.9860439,115.2735742,1006,6,1,9,-28.44218161,26.84416001,1
7.286046291,36.27486182,11.00491812,0.817862764,5.791047089,1.557657364,590.8931037,763.2983715,45,104.8054125,235,5,0,3,-4.180145771,18.3971574,0
12.71960383,32.26299924,12.02829789,1.288403526,11.34998316,3.283037014,428.7158616,1060.232633,45.30211514,100.8011068,187,2,1,4,-8.371575733,23.83071494,0
24.16222868,73.22162216,16.37866291,1.943694794,36.65743859,4.427448909,5549.185513,6149.255886,119.3075102,122.2687521,571,3,6,13,-36.65743859,71.53064973,1
28.11252663,55.30441603,17.04822715,1.004299396,7.47916043,1.347904703,11282.1905,13720.96008,50.67076094,118.6283722,1094,6,0,5,-6.078877863,34.7791933,1
18.67123695,43.80159486,13.94589126,1.150346364,13.36387409,1.877467071,2842.080155,4453.516243,45,107.2361571,534,4,0,8,-10.25764206,26.36354464,1
21.33940265,54.09124617,15.54591726,1.348643582,21.9307855,2.073257729,5118.444065,8384.106575,169.6951535,120.4579344,880,8,1,11,-19.55266976,27.22175559,1
21.12845772,43.2041361,12.95772668,1.019769892,9.145185509,1.474478563,5415.951087,6432.860788,61.00512046,115.2336384,683,4,0,8,-5.094894388,40.68620199,1
21.46718651,49.28814478,14.44887855,1.35956163,9.794731237,1.97209681,5443.49163,6463.908084,61.17757023,120.2805155,675,6,1,8,-9.794731237,26.46718651,1
17.84400642,43.78097048,14.50384871,1.255300448,9.402834563,2.009650718,1431.212388,3234.736064,150.9453959,117.0365184,407,2,1,4,-9.402834563,27.84400642,1
18.90314915,45.60147085,14.16592157,1.584769326,27.07320522,2.766413358,3111.710028,4148.120799,71.56505118,145.484317,491,6,1,8,-23.23895382,24.78550209,0
22.21848552,48.6265771,13.91415906,1.469760106,13.79990345,2.06783586,5332.135887,6682.405207,175.8295635,71.64803574,674,7,1,7,-13.79990345,44.44070774,1
18.16122953,53.65910532,13.61013018,1.129214456,18.92910927,1.806234207,5790.302957,9348.83683,52.76969664,143.2056909,1153,8,1,12,-17.44342749,40.38345175,1
16.78638125,36.15362776,12.10343967,0.996307893,17.60645687,1.921101332,1434.337234,2084.075955,171.4692344,96.26117139,278,1,1,1,-17.267002,41.78638125,1
21.60240277,50.96381524,18.34302734,0.82026652,7.839381391,1.957213758,4401.366357,5382.049501,45,121.2438102,559,3,0,3,-6.439636693,34.10240277,1
25.56099906,66.13464859,21.17208213,1.449573563,12.07826927,2.001183034,11674.14702,14810.41881,77.19573393,77.9888934,1298,11,0,11,-9.049841529,48.14164422,1
25.29187699,47.06612608,15.82157934,1.308681749,30.36633909,2.378197406,5500.671857,7318.08688,77.47119229,143.669367,648,6,2,6,-28.67019647,37.79187699,1
7.679988593,22.88311028,6.540643981,1.29296794,7.521257693,2.275885147,773.9399266,1934.109321,45,109.9183688,565,7,0,3,-7.521257693,11.12826446,0
29.8973866,64.77590466,19.92599416,1.121499558,11.33894351,1.71274632,11378.66464,14259.92979,41.87786954,98.5379916,1069,9,1,11,-9.422782378,59.30915131,1
7.417421054,30.91281158,10.01767215,0.882470605,7.033056012,1.955174933,111.8710418,1890.791231,47.15527562,120.4979812,570,7,0,7,-6.449544914,22.80203643,0
12.135461,32.21942371,10.32310205,1.232939077,8.369865841,1.99613964,795.4315873,1034.764755,46.71776602,77.71342218,192,1,1,4,-7.468058479,72.135461,1
11.18663982,32.90361001,10.36097262,1.232373548,6.059288975,1.751887798,65.55341334,1920.399832,123.8662939,118.1785213,385,6,0,9,-6.059288975,47.55027618,1
9.472338191,34.72072257,11.42238201,1.081372344,14.76453343,2.715446511,141.2640082,1278.939393,45,117.6653809,301,5,0,4,-9.722867324,20.5834493,0
14.33980404,36.90565702,14.27593933,1.080781227,6.226099188,2.502792946,1484.42951,2023.653787,45,131.3943395,317,3,0,2,-6.226099188,38.08849351,1
16.21179223,48.66783414,15.90737091,1.226648396,15.08277079,1.981773095,1168.610769,2851.538455,45,91.0300798,395,4,1,7,-12.02140676,38.43401445,1
17.04248363,39.10324058,13.32486602,0.979812781,9.450376712,1.608341539,1735.146729,3144.060988,44.00203451,65.73911862,414,5,1,5,-9.450376712,50.37581696,1
26.77124926,56.1722152,18.8381464,0.980361541,8.070654326,1.359384979,11971.66747,12979.6644,45,60.36993827,1087,9,0,8,-6.380859417,50.51993873,1
18.5864183,44.06655621,12.1609483,0.967780738,9.515738856,1.442186857,4464.818824,5464.817747,45,150.7891089,659,4,0,4,-9.515738856,33.97103368,1
15.47637347,54.03648901,13.54333173,1.179808028,52.83021209,2.184070736,5555.411088,8483.624589,169.6772877,117.7049864,1228,17,2,17,-7.680825126,19.47637347,0
8.835360425,31.97869691,11.32059063,0.9427054,4.03251616,2.135449649,412.2421255,1073.278591,38.65980825,122.3146477,273,3,0,1,-3.667506131,91.95577359,2
1.011947772,7.230725551,1.002261521,0.805730408,6.913941713,1.369033233,7.4,77.50821956,139.6354634,119.2198064,169,4,0,0,-6.913941713,37.95435362,1
26.15036164,136.2538807,18.50927013,2.042056398,130.5123102,5.010472311,15861.35242,20022.2467,179.3598503,91.8277375,1715,10,14,37,-34.57454382,82.40036164,2
17.8270338,46.17063309,14.49952965,1.408802581,10.44001114,2.57501819,1633.356192,3597.743636,48.81407483,105.7294428,453,6,2,8,-10.44001114,24.96989094,0
13.17995938,61.52338508,13.34571898,0.993466051,54.01019668,2.012187281,5839.318017,9119.001795,179.2559408,88.27528309,1548,24,1,14,-19.93573402,18.30816451,0
11.97005442,35.97205671,12.95283551,1.361647296,10.14781668,2.701309593,1480.372798,2041.019956,74.7448813,113.60459,382,6,2,5,-10.14781668,21.06096351,0
24.74602847,46.47122809,12.72634723,1.333711871,16.99235703,1.884707682,5525.12093,8326.594599,51.83137694,114.1576501,754,5,0,6,-9.681225702,58.0793618,1
25.20323715,55.51043606,15.5550939,1.678103905,39.69882745,3.461644681,5461.663572,6809.85924,164.9862705,110.1234384,606,2,5,12,-28.94481853,75.20323715,2
12.14800348,37.80228141,11.10277086,0.99363537,11.82434921,1.527307918,744.6732774,1554.039092,55.18261182,127.5233606,287,1,1,2,-11.82434921,40.71943205,1
20.80927845,51.40202144,14.90162293,1.134577835,12.11812738,1.810627183,5358.44837,6966.980988,45.29955694,126.8753119,750,5,1,8,-12.11812738,50.80927845,1
12.86648086,31.26786465,8.298637463,0.912048256,7.452924177,1.54004705,1071.296658,2115.615769,36.86989765,83.99195968,368,1,0,0,-7.452924177,54.42668744,1
15.21478985,39.19487967,14.14994641,1.460036177,10.34483794,2.052887981,1389.407536,1944.273106,83.8298249,117.6066078,287,4,1,1,-10.34483794,35.21478985,1
8.76920768,30.60286,10.87644879,0.929021617,4.948969087,1.420467838,193.8784413,860.4122245,45,104.9919505,220,4,0,2,-4.948969087,28.76920768,1
16.29174741,41.25980281,15.01473173,1.172640574,10.1640103,2.082988391,1954.275654,2474.720492,45,91.56273235,340,9,1,4,-9.367516919,22.54174741,0
17.46087635,57.65552879,16.20632538,1.075630221,9.731411376,1.638517496,5864.494376,9922.395831,52.40623802,96.79018564,1273,13,1,14,-9.731411376,34.12754302,1
14.94697395,33.26381145,11.88972659,1.244963162,21.25080754,3.915183957,427.9581288,1183.85077,49.18491613,78.79013385,177,3,1,3,-20.77066327,39.94697395,1
19.25488674,43.92970676,13.42262005,1.3765563,9.652646872,1.894945243,5402.042601,6460.426722,59.98986236,71.52770546,752,8,0,9,-6.064392768,24.8104423,0
18.26815411,40.57430911,12.90012494,1.003734818,11.96986658,1.64789845,3223.777374,5469.700931,45,98.70731763,671,3,0,5,-11.96986658,32.5538684,1
21.59404092,50.15049352,16.38011485,0.923702335,22.10574635,1.877805834,4073.879296,4765.097221,73.61891619,83.95242408,495,6,0,1,-16.3088874,28.26070759,1
21.01357246,44.12288295,14.65846575,1.369552798,10.64768405,1.978534695,5416.151682,6540.522568,145.0079798,117.4664516,697,8,1,8,-8.129583474,42.44214389,1
8.86189247,32.65870836,10.32436435,0.972256301,5.135472207,1.465252648,81.38267629,1576.487424,45,105.7059888,399,7,0,4,-5.135472207,13.62379723,0
14.25444505,32.68404871,12.32691128,0.698973552,4.300702565,1.354392578,1492.051397,2061.847706,45,83.7429064,325,2,0,1,-3.695484647,61.751824,1
19.95980791,45.38419108,14.69623793,1.277272732,18.80286271,2.570149716,3479.521076,4157.105086,45,146.7419599,467,5,0,9,-11.77094123,59.95980791,1
25.47076856,51.02334525,15.95193254,1.505936217,16.05029969,2.147019172,5549.590781,8516.788238,93.17722049,123.5028957,750,3,2,13,-16.05029969,58.80410189,1
8.075368767,77.65340513,8.51766296,2.010816898,56.88774732,5.11948884,557.0692327,1507.950657,161.2919022,92.57821147,416,9,4,7,-33.55455085,24.07536877,0
9.970343349,32.03904818,10.08585782,0.933170363,13.82731366,1.568285065,1361.726206,2547.899118,45,112.1834748,572,8,2,6,-12.52198067,28.44154627,1
12.59562486,32.70706835,10.50754974,1.250144461,13.86280563,1.973671975,682.7389106,1192.740759,52.46707664,128.2281146,212,2,0,3,-9.045165608,52.59562486,1
21.38266296,41.09041737,12.71962804,0.908330543,8.22315282,1.368719841,6655.917077,8688.866124,42.31804416,91.8667134,910,4,0,6,-7.742203782,68.88004191,1
18.0758206,49.84541094,14.99207067,1.492557579,22.58423759,2.308162196,5319.917888,6771.499217,102.1549417,141.0790989,838,11,2,14,-22.38230221,28.0758206,1
9.703114135,24.09432132,8.154035157,1.304928729,16.67256912,3.293837292,595.9732293,870.6812237,167.4563604,120.3128725,202,1,1,1,-15.78105992,29.70311414,1
12.23948426,39.11799422,13.59126105,1.454306584,28.37721022,3.185015163,690.8615057,1374.72069,43.58557679,107.6983758,250,5,3,4,-26.82406786,26.52519855,1
29.18860048,60.29262827,20.44456447,1.115759726,14.09395297,1.658773927,11405.86307,13809.8388,45,77.97457535,1060,9,1,10,-12.9862008,38.27950957,1
20.48279902,44.02554604,14.41488931,1.192667768,6.599430603,1.734956648,5418.17704,6480.345585,153.4349488,92.71195074,709,6,0,6,-6.599430603,40.04054329,1
14.9460441,40.29074494,13.5606502,0.964032191,11.45298949,1.577593219,1443.068831,2076.099207,55.07937233,100.8454163,311,3,0,3,-10.20805602,24.9460441,0
40.26246525,55.2113426,13.05842773,2.222439349,14.3111245,3.897437296,2515.524075,4498.069728,138.691386,91.19187852,251,5.891223462,5,7,-12.64005376,100.2624653,2
20.04822216,43.39013565,13.00317388,0.947478795,5.689561282,1.397789422,5593.340799,8415.551481,62.85150891,86.75945648,941,7,0,8,-5.689561282,36.71488883,1
9.409211397,37.15024974,9.925004422,0.897317092,14.84648531,1.604939919,1077.342443,2234.901884,46.21887524,87.28413977,530,3,0,5,-14.58290894,27.59102958,1
11.38208006,26.26155212,8.295712574,1.170768532,7.219790514,3.17743216,708.0292084,1037.71758,72.3460002,108.6921021,205,3,0,1,-5.836977123,31.38208006,1
14.05798717,32.76990619,8.423908406,1.029007093,7.399734206,1.72006393,1044.438567,2072.562906,39.58370311,123.1331736,330,1,0,1,-7.399734206,61.55536612,1
10.72788636,31.63479603,10.35429358,1.114476887,22.71034775,2.490001531,416.3887607,1140.491313,45,107.6870161,237,3,1,2,-21.57793305,93.84829952,2
14.22729175,38.97664367,13.97236747,0.899111435,5.91773096,1.519118864,1036.488167,1493.682287,46.93929677,114.8566338,236,3,1,2,-5.91773096,42.79872032,1
16.95063659,45.42728836,14.76962396,1.276351124,19.45053588,2.164050336,1675.427038,3697.184301,56.76828893,114.1909181,488,4,3,5,-17.95775028,25.28396992,1
41.61858471,64.09258104,18.76721274,1.462634446,11.92024501,1.993596233,14294.48248,15959.98405,91.78851424,57.40739584,860,3,0,12,-6.441379495,87.77243086,2
17.69062287,38.17540989,13.88011731,1.4009739,21.852697,2.505772763,3.361547263,3672.595407,45,104.7518006,464,7,1,8,-20.43977799,37.69062287,1
9.783200909,35.79797536,10.38797367,1.163497684,6.460526304,1.671185245,308.9050501,1599.784423,45,112.7391384,367,5,0,8,-6.460526304,32.00542313,1
0.130710104,1.630744615,0.269503504,0.203438341,1.58391919,0.365018932,3.001666204,27.8926026,45,110.4136022,479,1,0,0,-1.58391919,27.83751449,1
13.24530279,32.49235627,10.49057913,0.924472844,17.0964374,1.660456612,1773.458161,3331.571855,41.18592517,120.5503706,563,5,0,5,-16.66803513,30.74433714,1
23.93047542,62.98703155,15.72966134,1.296295618,25.50083515,2.26177261,5551.21625,8997.823423,94.21985508,127.5627405,842,6,3,12,-20.71454657,76.87165189,2
21.33687975,44.21943826,13.53054863,1.411239481,9.916902742,1.889753502,5636.069499,8198.834368,159.145542,121.2596572,861,11,0,14,-6.502001436,32.44799086,1
13.00608712,34.02736217,11.10392416,1.576106137,13.35683527,2.408892776,1716.702799,2660.978437,45,90.18208494,458,6,3,12,-13.35683527,21.33942045,0
9.178108392,29.79284209,9.632420292,0.770932146,6.005597336,1.189036701,926.1340076,1346.306014,46.01848435,100.1264083,329,5,0,2,-6.005597336,42.42627365,1
36.63988108,131.8920674,12.47801681,1.835023016,89.51579025,4.0086918,10719.8623,15051.39111,36.45276806,57.42025731,920,1,10,17,-28.58191937,86.63988108,2
19.33498144,52.58850247,14.78546265,1.082070765,13.48923671,1.637802471,5586.517536,9775.794901,51.63415438,93.37834198,1132,11,1,11,-11.11317542,23.68280753,0
14.7260037,37.40196358,12.70782707,1.181108241,5.281196516,3.180711141,407.7070026,1176.765475,45,92.7551008,180,1,0,3,-5.281196516,31.39267037,1
21.29411991,47.32341289,13.81907676,1.072931996,16.63039588,1.952797926,5401.256128,6950.960843,49.86335737,149.5272618,730,4,0,11,-16.63039588,51.29411991,1
7.491270031,99.01965542,14.712732,4.25583587,76.30530108,10.81104245,333.7288121,1146.025424,178.5446147,139.9614498,249,6,7,11,-39.98266401,65.82460336,1
18.13975887,41.34241483,13.69154874,1.070109455,23.7379705,1.986025547,2397.183368,5836.24448,104.3175954,111.5264521,721,5,0,6,-13.29676873,41.94928268,1
6.28843197,35.46918167,9.506088361,0.837142197,22.7837357,2.270205235,490.3484985,1416.844008,52.60150432,126.5259014,501,3,1,6,-20.43658426,12.17078491,0
20.59794564,50.52727042,17.23845948,1.031470157,30.51694128,2.255675383,5591.87389,8470.389736,52.23103363,107.7372036,919,7,1,12,-28.35989626,25.3598504,1
18.19755403,37.1866987,13.18480755,1.166103523,8.593805489,1.839104718,1413.58733,1936.364489,51.33116926,87.346325,239,4,0,2,-4.75929757,38.19755403,1
18.21671217,44.19390003,12.8783351,0.987267759,8.143271539,1.401583136,5855.86789,8854.402786,50.02375281,89.43097517,1089,9,0,12,-7.036783616,38.21671217,1
11.15024006,32.05157444,10.17066707,1.113196848,7.676195269,1.655669347,821.055936,1003.467613,45,95.38814303,202,2,0,3,-5.780304512,36.15024006,1
28.78571661,65.13125013,19.4950702,1.091198412,26.86397439,2.051050093,11684.54986,14949.01213,75.27347933,72.73623284,1163,11,4,10,-26.86397439,55.45238328,1
22.04994958,56.88585736,16.90920266,1.147042115,13.26721457,2.119419559,4586.278689,5376.191724,45,84.28955045,546,5,0,5,-12.4889561,31.14085867,1
13.21641469,35.95531449,13.3836172,0.758872288,6.016466029,1.129571142,1406.032407,1912.044817,45,134.4924271,325,3,0,2,-6.016466029,46.46457995,1
20.80321004,55.26947512,15.51492815,1.579283692,20.75730024,2.365571926,5592.710335,8506.73245,161.5650512,82.80377472,916,10,4,15,-20.10131087,34.43957368,1
5.315468578,37.92221428,8.36409265,0.9185082,6.740528768,1.40010058,600.8861872,767.8273483,45,131.5351553,323,4,0,1,-5.955279497,30.89098032,1
21.20273074,50.39004346,14.99229631,1.248487651,8.326088962,2.085418574,4294.79636,5292.304252,51.21436974,95.08012655,560,4,0,5,-8.326088962,41.20273074,1
16.9148991,39.67583204,15.18191798,0.951825693,13.01513623,2.210776668,1664.684526,3161.803071,59.15578739,130.1862042,419,5,0,6,-6.206351273,26.00580819,1
21.30823461,48.08649274,14.17023563,1.514505295,22.58947571,2.24614197,5633.689983,8098.975452,151.4034809,129.8740327,852,7,1,20,-13.01805485,37.97490128,1
18.56498943,38.48630302,13.01687415,1.016708942,13.69131853,2.134838966,1669.554012,3148.838466,63.46876161,98.6056106,380,3,0,5,-12.96269975,35.2316561,1
15.45239825,42.17986022,12.24034107,0.914626575,3.809993474,1.655722288,1435.202042,1634.991176,45,90.59792285,238,1,0,1,-3.634525204,81.94872877,2
17.6238316,45.14919906,13.57012442,0.92282776,8.117270264,1.361980057,5810.954721,9165.124252,60.35441805,123.7658376,1165,8,0,8,-8.117270264,27.6238316,1
8.920983881,122.144306,12.63222761,1.686773386,122.144306,6.323548947,796.914299,1872.463325,172.0241216,109.4899811,470,8,2,7,-34.39670201,22.55734752,0
19.81488302,46.18204257,14.72133641,1.092248623,9.055827628,1.641051404,5571.624625,8487.800598,52.97087746,99.89554282,960,6,1,9,-8.860828105,38.33340154,1
13.86965529,32.48926764,12.73401131,0.802516876,5.886810621,1.492065954,1408.362482,1928.979576,45,85.9483962,312,1,0,1,-5.166414825,61.36703424,1
17.3534969,55.88923446,19.5655647,1.041663511,11.32471032,1.700029705,2944.222181,3088.147774,56.9463577,89.98022325,399,3,1,5,-11.32471032,24.49635404,0
14.72597952,40.34239378,10.65568944,1.241894517,12.30581511,2.247434199,988.9603127,1898.423926,38.65980825,95.97497976,289,2,0,1,-10.18269,51.08961588,1
22.53330605,54.54296508,14.51906518,1.54743789,20.73554705,2.324181354,5540.74933,9376.489474,64.06919354,120.4199963,933,6,2,12,-20.73554705,57.31591475,1
11.60131358,33.50204388,12.23938376,1.159622582,13.55472125,2.335737034,1445.148145,1995.059751,45,140.4570772,386,6,0,3,-8.040398577,19.93464691,0
19.52815438,49.48727319,14.97155149,1.145998751,8.781434717,2.176418376,5326.543015,5814.856683,39.95754893,113.1708948,668,4,2,6,-8.781434717,36.19482105,1
15.43870827,34.15173671,13.80047212,0.697377812,4.549646366,0.929305822,1065.749713,1151.010839,45,91.22584603,168,2,0,0,-4.549646366,32.10537494,1
26.74858855,78.73368987,15.43556747,1.182610364,52.80962105,2.481051473,11346.12323,13855.60505,45,115.2410351,1161,8,1,9,-32.03853841,32.30414411,1
12.79918549,44.89230491,12.65461517,1.535981381,14.79328203,2.703945387,1340.447287,2836.681528,167.1957339,96.04646686,496,9,0,7,-14.79328203,19.94204263,0
43.16662231,59.71900495,15.82590451,1.293536042,20.84711344,2.096505894,22848.52245,27056.2222,109.2376393,119.9023206,1405,2,0,8,-12.42323514,87.61106675,2
7.198291865,34.57445624,9.707559293,0.914344309,16.51170582,1.727626391,582.6183142,1362.296725,45,116.6327505,422,3,0,4,-15.51768461,32.19829187,1
10.49277471,33.2766306,10.32633126,1.228409371,8.029653002,1.841672906,289.2024896,1773.359514,63.43494882,124.007093,378,5,0,3,-8.029653002,34.24146418,1
21.50122999,50.00370418,18.12217859,0.919580518,14.95377019,1.556701985,4998.644473,6219.256638,45.1546441,91.95227663,648,7,1,5,-10.99935903,40.25122999,1
7.414303557,21.19968,7.536367477,0.875702426,10.43962627,2.283202328,352.601418,879.7984537,45,106.833905,265,4,0,3,-10.43962627,48.97451014,1
15.38819641,36.73873161,13.52190285,1.273729686,7.099808721,1.84083668,1629.076119,2170.865199,45,112.5356306,317,3,1,2,-7.099808721,32.05486308,1
