ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9926381,01/14/2015 02:05:00 PM,THEFT,PURSE-SNATCHING,STREET,0,0,14,26,24,6,1157320,1910513,2015,41.91021307,-87.6975027
7884936,01-11-2011 15:20,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,11,28,27,08B,1157831,1896163,2011,41.87082496,-87.69601703
7129681,08/31/2009 03:00:00 PM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,0,0,22,21,71,11,1168543,1846187,2009,41.73346025,-87.65813095
9441187,12/26/2013 09:00:00 PM,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,0,0,12,25,31,5,1166010,1891252,2013,41.85717819,-87.66612924
10170522,07/28/2015 04:45:00 AM,CRIMINAL TRESPASS,TO LAND,FACTORY/MANUFACTURING BUILDING,0,0,14,32,22,26,1165993,1913063,2015,41.91702959,-87.66556864
6098428,02/23/2008 01:50:00 PM,BATTERY,SIMPLE,GAS STATION,0,0,6,18,71,08B,1164404,1852184,2008,41.75000501,-87.67312565
6461987,08/26/2008 01:25:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,10,22,30,14,1149930,1886752,2008,41.84515734,-87.72526925
8136455,06/28/2011 08:37:00 AM,THEFT,FROM BUILDING,ALLEY,0,0,15,28,25,6,1141648,1901787,2011,41.88657227,-87.75529206
8951898,01-01-2013 22:10,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,1,0,6,8,44,18,1183647,1851316,2013,41.74719631,-87.60263839
6538940,10-04-2008 12:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,0,0,24,40,1,14,1165397,1944144,2008,42.00232987,-87.6668702
10801967,01-01-2017 23:00,ROBBERY,ARMED: HANDGUN,RESIDENCE,0,0,15,28,25,3,1141913,1903767,2017,41.89200073,-87.75426983
10799945,12/29/2016 06:00:00 PM,THEFT,$500 AND UNDER,STREET,0,0,24,50,2,6,1160691,1941804,2016,41.99600804,-87.68424835
6872689,04/15/2009 08:30:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,1,0,4,7,51,18,1192970,1840463,2009,41.71719235,-87.56883013
10713629,10-12-2016 13:45,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,HOTEL/MOTEL,1,0,1,42,32,04A,1177549,1902643,2016,41.8881819,-87.62342915
8442255,01/16/2012 09:35:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,2,20,40,18,1179036,1866453,2012,41.78884005,-87.61907362
7049296,07/29/2009 07:48:00 PM,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,SIDEWALK,1,0,11,28,26,11,1150223,1899725,2009,41.8807511,-87.72385598
10509964,05-04-2016 18:00,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,1,0,11,27,23,18,1153127,1903782,2016,41.89182683,-87.71308499
7201526,10/29/2009 09:15:00 AM,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE,0,0,6,8,44,26,1183416,1845482,2009,41.73119255,-87.60366608
6447623,08/16/2008 06:15:00 PM,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,1,0,18,42,8,11,1176223,1905805,2008,41.89688859,-87.62820319
6557839,10/15/2008 03:30:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,8,23,57,14,1148532,1871425,2008,41.80312495,-87.73079427
7881601,01-08-2011 05:00,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,0,0,7,16,68,14,1171290,1866687,2011,41.78965525,-87.64746853
6008745,01-09-2008 15:00,THEFT,OVER $500,STREET,0,0,12,27,28,6,1164074,1901755,2008,41.8860404,-87.67293884
7896718,01/18/2011 04:00:00 PM,CRIMINAL DAMAGE,TO PROPERTY,OTHER,0,0,14,32,24,14,1161836,1907964,2011,41.90312536,-87.6809839
10780848,12-10-2016 20:00,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,0,0,10,22,30,6,1154399,1888194,2016,41.84902636,-87.70882997
10609169,07/15/2016 03:16:00 AM,THEFT,RETAIL THEFT,GAS STATION,0,0,4,7,51,6,1188709,1842306,2016,41.72235251,-87.58437738
8699889,07-05-2012 18:00,THEFT,$500 AND UNDER,STREET,0,0,5,34,49,6,1177788,1835170,2012,41.70302412,-87.62459433
8479181,02-12-2012 18:00,ASSAULT,SIMPLE,SIDEWALK,0,1,25,30,22,08A,1149626,1913661,2012,41.91900451,-87.72568569
9487057,02-05-2014 22:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,1,0,8,15,66,18,1162130,1863314,2014,41.7805949,-87.68114938
6571712,10/23/2008 08:00:00 PM,THEFT,OVER $500,SIDEWALK,0,0,18,42,8,6,1176704,1905378,2008,41.89570602,-87.6264495
6167387,03/28/2008 11:10:55 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,7,17,68,18,1171489,1859417,2008,41.76970116,-87.64695164
9324780,09/26/2013 01:30:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,0,0,2,4,41,08B,1184254,1871218,2013,41.80179505,-87.59979217
10448478,03/14/2016 11:55:00 AM,BURGLARY,HOME INVASION,APARTMENT,0,0,24,49,1,5,,,2016,,
9680682,07-04-2014 05:10,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,0,0,9,3,61,04B,1168127,1873349,2014,41.8080052,-87.65887462
8936578,12/17/2012 12:01:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"SCHOOL, PRIVATE, GROUNDS",0,0,24,48,77,2,1167704,1942303,2012,41.99722854,-87.6584364
7447454,04-08-2010 22:30,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,3,20,42,08B,1180637,1864355,2010,41.78304629,-87.61326779
8091501,06-01-2011 18:15,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CTA BUS STOP,0,0,7,20,68,04B,1175817,1863196,2011,41.77997528,-87.63097404
8486288,02/18/2012 06:10:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,4,8,48,08B,1191472,1843543,2012,41.72568055,-87.5742171
10580311,06/29/2016 01:35:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,19,44,6,7,1166365,1922766,2016,41.94364719,-87.66392359
6451494,08/23/2008 04:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,0,0,7,6,69,6,1177078,1857479,2008,41.76425885,-87.62652331
10376744,01-12-2016 17:00,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,0,0,11,27,23,7,1149554,1905881,2016,41.89765683,-87.72615257
9932082,01/20/2015 12:02:00 AM,CRIMINAL DAMAGE,TO PROPERTY,DAY CARE CENTER,1,0,3,20,42,14,1180436,1864670,2015,41.7839153,-87.61399505
10351055,12/14/2015 06:30:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,AIRCRAFT,0,0,24,50,2,24,1161721,1942497,2015,41.99788817,-87.68044002
9533514,03/17/2014 04:00:00 AM,THEFT,$500 AND UNDER,STREET,0,0,8,18,66,6,1158274,1857145,2014,41.76374564,-87.69545401
8364745,11/20/2011 11:29:00 PM,CRIMINAL TRESPASS,TO STATE SUP LAND,PARK PROPERTY,1,0,19,46,6,26,1169976,1926105,2011,41.95273138,-87.65055358
9708600,07/24/2014 03:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,11,28,26,14,1147571,1899311,2014,41.8796663,-87.73360462
7602364,07-11-2010 19:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,12,27,24,14,1170948,1903909,2010,41.89180318,-87.64763293
9504754,02/19/2014 05:18:00 PM,THEFT,$500 AND UNDER,RESTAURANT,0,0,19,48,3,6,1167680,1931481,2014,41.96753321,-87.65883818
10296110,10/31/2015 07:50:00 PM,NARCOTICS,POSS: CRACK,STREET,1,0,6,21,71,18,1167496,1847999,2015,41.73845512,-87.66191485
9949802,02-03-2015 18:09,NARCOTICS,POSS: PCP,APARTMENT,1,0,10,22,30,18,1154415,1887682,2015,41.84762106,-87.70878491
6184988,04-03-2008 13:40,NARCOTICS,POSS: METHAMPHETAMINES,POLICE FACILITY/VEH PARKING LOT,1,0,11,24,29,18,,,2008,,
8039442,04/29/2011 01:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,0,24,40,1,08B,1166943,1943465,2011,42.00043352,-87.66120225
8811036,09/20/2012 10:20:00 AM,CRIMINAL DAMAGE,TO PROPERTY,NURSING HOME/RETIREMENT HOME,0,0,2,3,38,14,1177472,1875091,2012,41.81257904,-87.62454705
6195224,04-03-2008 00:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0,0,8,16,63,5,1161038,1865830,2008,41.78752181,-87.68508333
9012481,02/17/2013 01:52:00 PM,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,1,0,10,22,30,04B,1150095,1887566,2013,41.84738786,-87.72464255
7249153,11/28/2009 02:20:00 AM,THEFT,FROM BUILDING,OTHER,0,0,5,34,53,6,1176003,1826010,2009,41.67792783,-87.63140387
10726000,10/22/2016 08:20:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,1,6,6,44,08B,1181210,1852080,2016,41.74934925,-87.61154466
10251607,09/25/2015 08:30:00 PM,THEFT,$500 AND UNDER,BARBERSHOP,0,0,25,27,23,6,1149905,1908747,2015,41.9055146,-87.7247887
6977790,05/27/2009 07:30:00 PM,THEFT,$500 AND UNDER,RESTAURANT,0,0,12,27,24,6,1167962,1903797,2009,41.8915608,-87.65860234
6183626,04-10-2008 14:50,BATTERY,SIMPLE,SIDEWALK,0,0,8,18,70,08B,1156133,1853360,2008,41.75340231,-87.7034029
6539661,10-06-2008 18:35,BATTERY,SIMPLE,DRUG STORE,1,0,5,34,53,08B,1172764,1828586,2008,41.68506859,-87.64318416
9712463,07/27/2014 03:40:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,10,22,30,14,1149721,1883727,2014,41.83686041,-87.72611475
7075266,08/13/2009 07:30:00 PM,THEFT,RETAIL THEFT,GROCERY FOOD STORE,1,0,6,17,71,6,1172343,1852312,2009,41.75018542,-87.64402995
7213020,10/24/2009 10:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,0,0,2,5,41,6,1189555,1868625,2009,41.79455389,-87.58043494
9391328,11/15/2013 01:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,1,10,24,29,08B,1153122,1890368,2013,41.85501746,-87.71345912
7942998,02/23/2011 01:50:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,17,33,16,18,1151816,1927683,2011,41.95743913,-87.71726909
6304916,06/13/2008 05:30:00 PM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,0,4,7,46,14,1193916,1852176,2008,41.74931076,-87.56498244
10335962,12-06-2015 16:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,3,7,43,08B,1195265,1857288,2015,41.76330531,-87.55987085
10202288,08/19/2015 09:30:00 PM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,0,11,28,26,14,1148133,1898999,2015,41.87879934,-87.73154905
8517362,03-12-2012 16:15,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,7,17,68,7,1170145,1860050,2012,41.77146752,-87.65185976
6969913,06/13/2009 08:00:00 PM,THEFT,$500 AND UNDER,SIDEWALK,0,0,24,49,1,6,1167368,1945337,2009,42.00556115,-87.65958458
9299653,09-09-2013 16:48,BATTERY,SIMPLE,CTA BUS,0,0,6,21,71,08B,1172423,1849658,2013,41.74290073,-87.64381472
9387495,11-12-2013 17:25,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,9,12,61,08B,1161212,1877071,2013,41.81836493,-87.68413403
6544113,10-08-2008 01:00,THEFT,ATTEMPT THEFT,RESIDENCE,0,0,25,37,23,6,1148585,1908015,2008,41.90353151,-87.72965647
6776591,02/27/2009 10:48:00 PM,THEFT,$500 AND UNDER,BAR OR TAVERN,1,0,14,1,24,6,1163090,1910347,2009,41.90963823,-87.67631067
6772440,02/25/2009 11:10:00 PM,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,0,1,10,22,30,26,1153809,1885609,2009,41.84194457,-87.71106408
8435027,01-10-2012 23:34,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1,0,24,50,2,18,1158170,1942050,2012,41.99673514,-87.69351519
8940933,12/21/2012 04:30:00 PM,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,0,0,7,15,67,5,1166103,1862000,2012,41.77690551,-87.66662096
9627434,05/23/2014 11:00:00 AM,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",1,0,5,21,49,08B,1175628,1841630,2014,41.72079978,-87.63231112
10549463,08-01-2009 00:01,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,0,0,2,3,68,11,,,2009,,
6607178,11-04-2008 21:40,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,1,0,7,17,67,15,1167657,1856330,2008,41.76131309,-87.6610865
